time,iqs,ids,torque,rpm,vqs,vds
0.4,14.262627,-20.12068,-5.7155895,-1423.8047,179.62924,0.0
0.40100002,14.295888,-20.144728,-5.675023,-1435.3752,179.62924,0.0
0.402,14.307771,-20.14124,-5.6640954,-1416.2144,179.62924,0.0
0.40300003,14.304555,-20.165813,-5.6523066,-1425.476,179.62924,0.0
0.404,14.296766,-20.179087,-5.6774516,-1437.0331,179.62924,0.0
0.40500003,14.271387,-20.160204,-5.705566,-1440.0355,179.62924,0.0
0.40600002,14.2807255,-20.173704,-5.6372337,-1435.2705,179.62924,0.0
0.407,14.273613,-20.161926,-5.6322017,-1446.816,179.62924,0.0
0.40800002,14.278801,-20.179497,-5.6487446,-1453.2036,179.62924,0.0
0.409,14.294892,-20.18096,-5.659733,-1442.8597,179.62924,0.0
0.41000003,14.297907,-20.190823,-5.6651325,-1454.7091,179.62924,0.0
0.411,14.269563,-20.16818,-5.6228247,-1462.3347,179.62924,0.0
0.41200003,14.256802,-20.18114,-5.618134,-1460.3397,179.62924,0.0
0.41300002,14.298944,-20.17557,-5.5853467,-1462.1233,179.62924,0.0
0.41400003,14.267327,-20.17254,-5.644156,-1471.166,179.62924,0.0
0.41500002,14.263323,-20.196804,-5.6760726,-1470.9896,179.62924,0.0
0.416,14.255202,-20.189106,-5.574007,-1462.9727,179.62924,0.0
0.41700003,14.268073,-20.186552,-5.640229,-1482.4731,179.62924,0.0
0.418,14.271051,-20.186918,-5.6405125,-1463.9288,179.62924,0.0
0.41900003,14.277075,-20.212358,-5.610263,-1472.9442,179.62924,0.0
0.42000002,14.235377,-20.21838,-5.5954,-1488.6055,179.62924,0.0
0.42100003,14.254425,-20.232616,-5.56711,-1486.8418,179.62924,0.0
0.42200002,14.28483,-20.225134,-5.559365,-1483.8359,179.62924,0.0
0.423,14.247343,-20.205603,-5.5849423,-1481.1877,179.62924,0.0
0.42400002,14.223286,-20.220394,-5.5860877,-1502.1827,179.62924,0.0
0.425,14.240228,-20.216188,-5.593719,-1502.9055,179.62924,0.0
0.42600003,14.270013,-20.243208,-5.606071,-1498.101,179.62924,0.0
0.42700002,14.266115,-20.236427,-5.609215,-1497.712,179.62924,0.0
0.42800003,14.293606,-20.234325,-5.6088123,-1514.4274,179.62924,0.0
0.42900002,14.247404,-20.23208,-5.5846324,-1496.9597,179.62924,0.0
0.43,14.2674465,-20.226131,-5.631453,-1489.8756,179.62924,0.0
0.43100002,14.26709,-20.211714,-5.5944324,-1503.6599,179.62924,0.0
0.432,14.267148,-20.24531,-5.549852,-1525.0901,179.62924,0.0
0.43300003,14.243354,-20.237827,-5.578877,-1514.1969,179.62924,0.0
0.43400002,14.246815,-20.219105,-5.6476326,-1512.5029,179.62924,0.0
0.43500003,14.249404,-20.252213,-5.521565,-1526.0339,179.62924,0.0
0.43600002,14.253996,-20.276613,-5.555835,-1524.1686,179.62924,0.0
0.437,14.264621,-20.253317,-5.5324693,-1534.2737,179.62924,0.0
0.43800002,14.243888,-20.260279,-5.551317,-1528.4099,179.62924,0.0
0.439,14.258395,-20.26176,-5.55088,-1547.2216,179.62924,0.0
0.44000003,14.24551,-20.253284,-5.530965,-1548.5353,179.62924,0.0
0.441,14.24036,-20.262484,-5.5856757,-1540.4397,179.62924,0.0
0.44200003,14.242237,-20.268726,-5.5071797,-1535.1493,179.62924,0.0
0.44300002,14.219167,-20.262417,-5.510177,-1543.5885,179.62924,0.0
0.44400004,14.246767,-20.272099,-5.481025,-1549.4904,179.62924,0.0
0.44500002,14.252463,-20.291815,-5.512922,-1549.4889,179.62924,0.0
0.446,14.253192,-20.310482,-5.495489,-1541.9055,179.62924,0.0
0.44700003,14.255758,-20.28765,-5.472278,-1554.6632,179.62924,0.0
0.448,14.255571,-20.303257,-5.4967613,-1560.9253,179.62924,0.0
0.44900003,14.208394,-20.30155,-5.4919453,-1565.2137,179.62924,0.0
0.45000002,14.23801,-20.297714,-5.5583115,-1580.2067,179.62924,0.0
0.45100003,14.203456,-20.283201,-5.439716,-1566.3888,179.62924,0.0
0.45200002,14.239941,-20.322315,-5.403468,-1576.743,179.62924,0.0
0.453,14.231226,-20.300995,-5.449525,-1578.758,179.62924,0.0
0.45400003,14.233891,-20.294758,-5.47499,-1579.2224,179.62924,0.0
0.455,14.233322,-20.313118,-5.417534,-1578.8058,179.62924,0.0
0.45600003,14.222536,-20.316994,-5.4472356,-1581.5353,179.62924,0.0
0.45700002,14.242679,-20.335798,-5.4483976,-1583.5686,179.62924,0.0
0.45800003,14.187957,-20.3062,-5.4848247,-1587.6212,179.62924,0.0
0.45900002,14.229518,-20.329145,-5.4627714,-1584.2996,179.62924,0.0
0.46,14.233376,-20.33042,-5.3969927,-1595.4282,179.62924,0.0
0.46100003,14.1961975,-20.336075,-5.4634166,-1594.2938,179.62924,0.0
0.462,14.214964,-20.364656,-5.453552,-1599.1611,179.62924,0.0
0.46300003,14.217826,-20.34785,-5.430203,-1613.3268,179.62924,0.0
0.46400002,14.235099,-20.34139,-5.4079156,-1598.4698,179.62924,0.0
0.46500003,14.22069,-20.343819,-5.406014,-1602.8898,179.62924,0.0
0.46600002,14.225725,-20.351336,-5.3871484,-1626.7382,179.62924,0.0
0.467,14.229329,-20.362911,-5.4404144,-1609.7059,179.62924,0.0
0.46800002,14.2123995,-20.367569,-5.399299,-1614.8129,179.62924,0.0
0.469,14.200536,-20.364407,-5.422488,-1620.0155,179.62924,0.0
0.47000003,14.210475,-20.371246,-5.4133,-1619.8153,179.62924,0.0
0.47100002,14.202928,-20.361645,-5.346428,-1615.9988,179.62924,0.0
0.47200003,14.21042,-20.36521,-5.4375653,-1623.2467,179.62924,0.0
0.47300002,14.232111,-20.367588,-5.3748817,-1623.5723,179.62924,0.0
0.47400004,14.196083,-20.364927,-5.389107,-1640.7627,179.62924,0.0
0.47500002,14.196841,-20.39418,-5.4325447,-1635.9752,179.62924,0.0
0.476,14.222311,-20.373516,-5.349635,-1635.4487,179.62924,0.0
0.47700003,14.225731,-20.381195,-5.387639,-1644.9813,179.62924,0.0
0.47800002,14.19541,-20.391184,-5.362098,-1638.4493,179.62924,0.0
0.47900003,14.215181,-20.40201,-5.343375,-1641.6597,179.62924,0.0
0.48000002,14.229546,-20.360893,-5.406695,-1646.0684,179.62924,0.0
0.48100004,14.220297,-20.369806,-5.3732266,-1648.2858,179.62924,0.0
0.48200002,14.201147,-20.38325,-5.4500623,-1639.3473,179.62924,0.0
