time,iqs,ids,torque,rpm,vqs,vds
0.25500003,13.299633,-22.299643,-5.9076385,-946.9671,179.62924,0.0
0.256,13.28157,-22.278732,-5.832997,-942.6264,179.62924,0.0
0.257,13.280277,-22.25826,-5.8380733,-954.91974,179.62924,0.0
0.25800002,13.284643,-22.23608,-5.8174334,-958.45605,179.62924,0.0
0.259,13.300119,-22.208893,-5.8315883,-960.2536,179.62924,0.0
0.26000002,13.362183,-22.194048,-5.882868,-954.6238,179.62924,0.0
0.261,13.378813,-22.23459,-5.902694,-957.0182,179.62924,0.0
0.26200002,13.404072,-22.24792,-6.0052576,-962.6082,179.62924,0.0
0.263,13.409604,-22.294569,-6.047829,-972.0663,179.62924,0.0
0.264,13.382674,-22.318266,-6.042352,-967.5329,179.62924,0.0
0.26500002,13.365512,-22.348545,-6.005091,-972.1714,179.62924,0.0
0.266,13.320844,-22.346134,-5.9669704,-978.1868,179.62924,0.0
0.26700002,13.32209,-22.343437,-5.895446,-970.66174,179.62924,0.0
0.268,13.288748,-22.343306,-5.879577,-984.3443,179.62924,0.0
0.26900002,13.285491,-22.329271,-5.8447804,-981.10406,179.62924,0.0
0.27,13.296187,-22.292833,-5.802361,-990.6837,179.62924,0.0
0.27100003,13.27772,-22.270264,-5.8329,-999.7767,179.62924,0.0
0.272,13.332243,-22.278744,-5.821844,-997.9238,179.62924,0.0
0.273,13.348084,-22.286556,-5.8134503,-995.2849,179.62924,0.0
0.27400002,13.361278,-22.318178,-5.91917,-1006.32904,179.62924,0.0
0.275,13.357336,-22.316957,-5.8644323,-1009.1512,179.62924,0.0
0.27600002,13.344072,-22.345861,-5.9305067,-1004.7881,179.62924,0.0
0.277,13.346901,-22.371933,-5.8977494,-1011.5511,179.62924,0.0
0.27800003,13.320332,-22.370657,-5.8981395,-1020.6483,179.62924,0.0
0.279,13.304657,-22.373444,-5.8415737,-1011.1679,179.62924,0.0
0.28,13.283948,-22.364635,-5.8117523,-1023.88544,179.62924,0.0
0.28100002,13.28719,-22.364922,-5.8037114,-1014.5074,179.62924,0.0
0.282,13.28274,-22.361738,-5.7854557,-1023.8261,179.62924,0.0
0.28300002,13.290807,-22.339443,-5.7323623,-1026.9034,179.62924,0.0
0.284,13.29828,-22.341484,-5.762733,-1028.0576,179.62924,0.0
0.28500003,13.30142,-22.361431,-5.804583,-1032.4828,179.62924,0.0
0.286,13.307466,-22.360575,-5.78822,-1032.4795,179.62924,0.0
0.287,13.318867,-22.390545,-5.824318,-1033.4178,179.62924,0.0
0.28800002,13.311271,-22.372093,-5.8434777,-1039.2192,179.62924,0.0
0.289,13.301091,-22.384577,-5.8090987,-1044.5955,179.62924,0.0
0.29000002,13.310856,-22.397726,-5.783718,-1049.349,179.62924,0.0
0.291,13.2852745,-22.430334,-5.7576823,-1049.1842,179.62924,0.0
0.29200003,13.259723,-22.410324,-5.786356,-1050.57,179.62924,0.0
0.293,13.270407,-22.39841,-5.7751064,-1052.1058,179.62924,0.0
0.294,13.280384,-22.40994,-5.7573695,-1062.5654,179.62924,0.0
0.29500002,13.262079,-22.397139,-5.7423105,-1055.553,179.62924,0.0
0.296,13.277263,-22.401382,-5.746854,-1072.6823,179.62924,0.0
0.29700002,13.279735,-22.396338,-5.728718,-1065.8501,179.62924,0.0
0.298,13.266563,-22.42722,-5.728852,-1071.1519,179.62924,0.0
0.29900002,13.277504,-22.408731,-5.7348127,-1072.8438,179.62924,0.0
0.3,13.285855,-22.428349,-5.7399297,-1071.5991,179.62924,0.0
0.30100003,13.270763,-22.42997,-5.766377,-1078.4882,179.62924,0.0
0.30200002,13.270307,-22.439667,-5.7038116,-1087.4271,179.62924,0.0
0.303,13.257853,-22.452276,-5.713434,-1078.6893,179.62924,0.0
0.30400002,13.264627,-22.46358,-5.7135205,-1086.1818,179.62924,0.0
0.305,13.271444,-22.459913,-5.7555966,-1088.3058,179.62924,0.0
0.30600002,13.252915,-22.462156,-5.695039,-1096.6302,179.62924,0.0
0.307,13.251386,-22.447428,-5.702574,-1093.6486,179.62924,0.0
0.30800003,13.255238,-22.455816,-5.6377654,-1109.5355,179.62924,0.0
0.30900002,13.25589,-22.452631,-5.6985483,-1105.2764,179.62924,0.0
0.31,13.25579,-22.459831,-5.6406083,-1103.6248,179.62924,0.0
0.31100002,13.248566,-22.457108,-5.6549525,-1109.6158,179.62924,0.0
0.312,13.264475,-22.46246,-5.722977,-1121.6464,179.62924,0.0
0.31300002,13.251174,-22.495316,-5.6715283,-1110.554,179.62924,0.0
0.314,13.259775,-22.497562,-5.6867185,-1118.3838,179.62924,0.0
0.31500003,13.243223,-22.486391,-5.657636,-1121.7323,179.62924,0.0
0.316,13.250184,-22.480923,-5.681323,-1129.0878,179.62924,0.0
0.317,13.25413,-22.485033,-5.6554146,-1121.4703,179.62924,0.0
0.31800002,13.226196,-22.510054,-5.6777163,-1130.8577,179.62924,0.0
0.319,13.246764,-22.485281,-5.6049304,-1128.5574,179.62924,0.0
0.32000002,13.238446,-22.48634,-5.6664853,-1129.5481,179.62924,0.0
0.321,13.227399,-22.502213,-5.626237,-1143.9957,179.62924,0.0
0.32200003,13.219645,-22.51074,-5.6153936,-1147.1897,179.62924,0.0
0.323,13.235681,-22.504354,-5.634035,-1142.0441,179.62924,0.0
0.324,13.227917,-22.506239,-5.6383567,-1155.4146,179.62924,0.0
